Date,State,Dead,Injured,Total
31/12/2020,Indiana,1,3,4
31/12/2020,Oregon,0,4,4
27/12/2020,United States Virgin Islands,0,4,4
26/12/2020,Massachusetts,1,5,6
26/12/2020,Illinois,3,3,6
26/12/2020,Florida,2,2,4
26/12/2020,Florida,1,3,4
25/12/2020,Florida,1,4,5
25/12/2020,Arkansas,5,0,5
24/12/2020,Florida,1,4,5
22/12/2020,Mississippi,5,0,5
20/12/2020,Kentucky,4,0,4
20/12/2020,Connecticut,2,2,4
19/12/2020,Illinois,0,6,6
18/12/2020,Pennsylvania,0,4,4
14/12/2020,Missouri,0,4,4
13/12/2020,West Virginia,4,0,4
12/12/2020,California,1,3,4
12/12/2020,New York,1,3,4
12/12/2020,New York,0,4,4
12/12/2020,Maryland,1,3,4
10/12/2020,Georgia,0,4,4
10/12/2020,Mississippi,0,5,5
10/12/2020,Louisiana,2,2,4
8/12/2020,Louisiana,2,3,5
6/12/2020,Texas,0,6,6
5/12/2020,California,1,3,4
5/12/2020,North Carolina,0,6,6
4/12/2020,Illinois,0,4,4
1/12/2020,Pennsylvania,1,3,4
30/11/2020,Alaska,4,0,4
29/11/2020,Mississippi,0,11,11
29/11/2020,Tennessee,2,2,4
28/11/2020,Louisiana,0,4,4
28/11/2020,South Carolina,1,14,15
27/11/2020,Georgia,1,5,6
27/11/2020,Ohio,0,6,6
26/11/2020,Nevada,1,4,5
22/11/2020,New Jersey,0,4,4
22/11/2020,New York,1,6,7
21/11/2020,Illinois,0,6,6
21/11/2020,Arizona,1,4,5
21/11/2020,Nebraska,2,2,4
20/11/2020,Michigan,3,1,4
20/11/2020,Wisconsin,0,8,8
19/11/2020,Florida,1,3,4
18/11/2020,Texas,3,2,5
18/11/2020,South Carolina,0,4,4
17/11/2020,Tennessee,0,4,4
16/11/2020,Florida,0,4,4
16/11/2020,Illinois,0,4,4
16/11/2020,Illinois,0,4,4
15/11/2020,Louisiana,0,5,5
15/11/2020,Georgia,2,2,4
14/11/2020,South Carolina,3,1,4
14/11/2020,Missouri,0,4,4
14/11/2020,Ohio,0,4,4
14/11/2020,California,2,3,5
12/11/2020,Florida,2,4,6
12/11/2020,North Carolina,0,6,6
10/11/2020,Florida,1,7,8
9/11/2020,Texas,0,4,4
8/11/2020,Virginia,0,4,4
8/11/2020,Tennessee,0,8,8
7/11/2020,Kansas,0,4,4
7/11/2020,South Carolina,1,3,4
6/11/2020,Louisiana,2,2,4
5/11/2020,Ohio,3,1,4
4/11/2020,Missouri,0,4,4
3/11/2020,Nevada,4,1,5
1/11/2020,New Jersey,1,3,4
1/11/2020,South Carolina,0,6,6
1/11/2020,North Carolina,1,3,4
1/11/2020,Indiana,0,4,4
1/11/2020,Oklahoma,1,3,4
1/11/2020,New York,2,2,4
1/11/2020,Arizona,2,2,4
31/10/2020,California,0,4,4
31/10/2020,Washington,0,5,5
31/10/2020,California,0,4,4
31/10/2020,Maryland,0,7,7
31/10/2020,Nevada,0,4,4
30/10/2020,Maryland,1,3,4
30/10/2020,Illinois,1,3,4
29/10/2020,Florida,0,4,4
28/10/2020,New Jersey,1,3,4
28/10/2020,Virginia,0,4,4
26/10/2020,Alabama,1,3,4
25/10/2020,Texas,2,3,5
25/10/2020,Texas,0,4,4
