Date,State,Dead,Injured,Total
29/12/2019,Texas,3,0,3
29/12/2019,California,0,5,5
29/12/2019,Illinois,0,5,5
29/12/2019,New York,1,3,4
27/12/2019,Texas,2,7,9
27/12/2019,Georgia,0,4,4
27/12/2019,California,1,3,4
26/12/2019,Florida,0,5,5
25/12/2019,Iowa,1,3,4
25/12/2019,Virginia,1,3,4
25/12/2019,California,0,4,4
24/12/2019,North Carolina,0,6,6
24/12/2019,Louisiana,0,4,4
22/12/2019,Illinois,0,13,13
22/12/2019,Maryland,0,7,7
21/12/2019,Mississippi,1,6,7
20/12/2019,North Carolina,2,2,4
20/12/2019,Alabama,2,2,4
19/12/2019,Rhode Island,2,2,4
18/12/2019,Texas,0,4,4
17/12/2019,Montana,4,1,5
15/12/2019,Georgia,1,4,5
14/12/2019,California,0,4,4
12/12/2019,Missouri,1,3,4
10/12/2019,New Jersey,6,3,9
10/12/2019,Texas,4,0,4
8/12/2019,Texas,2,3,5
8/12/2019,Louisiana,1,4,5
6/12/2019,Florida,4,8,12
5/12/2019,Florida,4,1,5
4/12/2019,Hawaii,3,1,4
4/12/2019,Alabama,2,2,4
1/12/2019,Michigan,1,3,4
1/12/2019,Louisiana,2,3,5
1/12/2019,Louisiana,2,2,4
1/12/2019,Illinois,1,4,5
1/12/2019,Louisiana,0,10,10
29/11/2019,Texas,0,7,7
27/11/2019,New York,0,5,5
25/11/2019,Florida,2,2,4
24/11/2019,California,0,6,6
24/11/2019,Louisiana,2,2,4
24/11/2019,Alabama,1,4,5
23/11/2019,Louisiana,1,6,7
23/11/2019,California,0,4,4
21/11/2019,California,0,5,5
21/11/2019,Washington,0,4,4
20/11/2019,California,0,4,4
18/11/2019,New Jersey,1,3,4
17/11/2019,California,4,6,10
17/11/2019,Ohio,0,4,4
16/11/2019,California,5,1,6
14/11/2019,California,3,3,6
11/11/2019,Florida,0,4,4
10/11/2019,Missouri,0,4,4
10/11/2019,Tennessee,1,4,5
10/11/2019,Arkansas,0,4,4
9/11/2019,Georgia,0,4,4
9/11/2019,Michigan,0,4,4
7/11/2019,Georgia,2,3,5
4/11/2019,Texas,1,3,4
3/11/2019,Ohio,0,4,4
3/11/2019,Texas,1,3,4
2/11/2019,Michigan,1,4,5
2/11/2019,Louisiana,0,4,4
1/11/2019,Arizona,0,5,5
1/11/2019,Texas,0,4,4
31/10/2019,California,5,4,9
29/10/2019,California,3,9,12
28/10/2019,Maryland,1,3,4
27/10/2019,Michigan,0,4,4
27/10/2019,Michigan,1,4,5
27/10/2019,Texas,2,10,12
26/10/2019,New Jersey,0,4,4
24/10/2019,Oklahoma,2,2,4
22/10/2019,Oklahoma,1,3,4
21/10/2019,South Carolina,0,4,4
20/10/2019,Texas,1,3,4
19/10/2019,Pennsylvania,0,4,4
19/10/2019,Texas,1,3,4
15/10/2019,Oklahoma,2,2,4
15/10/2019,Ohio,0,4,4
14/10/2019,Puerto Rico,6,0,6
14/10/2019,Pennsylvania,3,1,4
13/10/2019,Ohio,0,4,4
13/10/2019,Pennsylvania,0,6,6
12/10/2019,New York,4,3,7
12/10/2019,Texas,0,4,4
12/10/2019,Maryland,1,3,4
12/10/2019,Illinois,5,0,5
12/10/2019,Michigan,1,5,6
10/10/2019,Pennsylvania,0,5,5
10/10/2019,Wisconsin,1,3,4
10/10/2019,Florida,2,2,4
9/10/2019,Maryland,1,3,4
7/10/2019,Massachusetts,5,0,5
6/10/2019,Colorado,0,4,4
6/10/2019,Kansas,4,5,9
6/10/2019,Indiana,0,5,5
5/10/2019,Oklahoma,4,0,4
3/10/2019,Missouri,1,3,4
3/10/2019,North Carolina,1,3,4
1/10/2019,Missouri,0,4,4
29/09/2019,Kansas,0,4,4
29/09/2019,Florida,0,4,4
29/09/2019,Wisconsin,0,4,4
29/09/2019,Illinois,1,3,4
29/09/2019,Texas,4,0,4
27/09/2019,Ohio,3,1,4
24/09/2019,Illinois,1,3,4
23/09/2019,Indiana,2,2,4
22/09/2019,Missouri,0,5,5
21/09/2019,Louisiana,0,4,4
21/09/2019,Indiana,0,6,6
21/09/2019,South Carolina,2,8,10
21/09/2019,Indiana,1,3,4
20/09/2019,Louisiana,1,5,6
19/09/2019,"Washington, D.C.",1,5,6
18/09/2019,Illinois,3,1,4
18/09/2019,California,2,2,4
16/09/2019,Wyoming,2,2,4
14/09/2019,Georgia,0,4,4
14/09/2019,Missouri,2,2,4
14/09/2019,California,1,4,5
13/09/2019,Ohio,0,4,4
12/9/2019,New Mexico,1,3,4
12/9/2019,New Mexico,4,2,6
10/9/2019,Illinois,0,4,4
8/9/2019,Louisiana,1,3,4
8/9/2019,South Carolina,2,3,5
7/9/2019,North Carolina,3,1,4
4/9/2019,Louisiana,2,2,4
4/9/2019,Florida,0,4,4
2/9/2019,Alabama,5,0,5
2/9/2019,Illinois,0,4,4
2/9/2019,North Carolina,2,2,4
1/9/2019,North Carolina,0,4,4
1/9/2019,Alabama,0,7,7
1/9/2019,Connecticut,0,4,4
1/9/2019,Ohio,0,4,4
31/08/2019,Texas,8,25,33
31/08/2019,North Carolina,1,3,4
31/08/2019,Maryland,0,4,4
30/08/2019,Alabama,0,10,10
30/08/2019,Maryland,1,3,4
29/08/2019,Maryland,1,3,4
26/08/2019,Florida,4,0,4
25/08/2019,Illinois,1,3,4
25/08/2019,New Mexico,3,4,7
24/08/2019,Massachusetts,1,3,4
24/08/2019,Florida,2,3,5
24/08/2019,Maryland,0,7,7
23/08/2019,Missouri,1,3,4
23/08/2019,Texas,2,2,4
22/08/2019,South Carolina,2,2,4
22/08/2019,California,0,4,4
20/08/2019,Georgia,0,4,4
18/08/2019,Missouri,0,4,4
17/08/2019,Texas,0,7,7
17/08/2019,Missouri,0,4,4
17/08/2019,Virginia,1,3,4
15/08/2019,Pennsylvania,0,5,5
15/08/2019,Alabama,2,3,5
14/08/2019,West Virginia,1,5,6
14/08/2019,Pennsylvania,0,6,6
13/08/2019,Washington,2,3,5
13/08/2019,Mississippi,0,4,4
12/8/2019,California,2,2,4
12/8/2019,North Carolina,3,1,4
11/8/2019,Illinois,0,6,6
10/8/2019,California,0,4,4
10/8/2019,Virginia,0,4,4
9/8/2019,Texas,0,4,4
9/8/2019,Illinois,0,4,4
8/8/2019,New Jersey,1,3,4
7/8/2019,Missouri,2,2,4
6/8/2019,Georgia,4,0,4
6/8/2019,Michigan,0,4,4
5/8/2019,Texas,4,0,4
5/8/2019,Maryland,1,3,4
5/8/2019,New York,0,4,4
4/8/2019,Tennessee,1,3,4
4/8/2019,Mississippi,0,4,4
4/8/2019,Illinois,1,7,8
4/8/2019,Illinois,0,7,7
4/8/2019,Ohio,10,27,37
3/8/2019,Texas,23,23,46
2/8/2019,Maryland,3,1,4
2/8/2019,Virginia,2,3,5
31/07/2019,Indiana,3,1,4
30/07/2019,Mississippi,2,2,4
30/07/2019,Oklahoma,0,4,4
30/07/2019,Texas,3,1,4
30/07/2019,Ohio,0,5,5
28/07/2019,Wisconsin,5,2,7
28/07/2019,California,4,17,21
28/07/2019,Pennsylvania,0,4,4
28/07/2019,Pennsylvania,1,5,6
28/07/2019,Illinois,0,4,4
28/07/2019,"Washington, D.C.",0,4,4
27/07/2019,Kansas,1,3,4
27/07/2019,New York,1,12,13
25/07/2019,North Carolina,3,1,4
25/07/2019,California,4,2,6
23/07/2019,Florida,2,2,4
21/07/2019,Illinois,0,4,4
21/07/2019,"Washington, D.C.",0,4,4
20/07/2019,New Jersey,0,6,6
20/07/2019,Pennsylvania,0,4,4
20/07/2019,Illinois,0,7,7
18/07/2019,Illinois,1,3,4
17/07/2019,Texas,1,3,4
16/07/2019,Texas,0,4,4
15/07/2019,Louisiana,1,3,4
15/07/2019,Georgia,0,4,4
15/07/2019,Maryland,2,2,4
13/07/2019,Pennsylvania,0,7,7
13/07/2019,Illinois,1,4,5
11/7/2019,Texas,0,4,4
8/7/2019,North Carolina,2,2,4
8/7/2019,"Washington, D.C.",0,4,4
7/7/2019,Michigan,2,4,6
7/7/2019,Kansas,0,4,4
7/7/2019,Illinois,0,4,4
7/7/2019,New Mexico,0,4,4
6/7/2019,California,0,4,4
6/7/2019,Michigan,2,2,4
6/7/2019,North Carolina,0,4,4
5/7/2019,New York,0,4,4
5/7/2019,Illinois,0,5,5
5/7/2019,Nevada,1,3,4
5/7/2019,Arkansas,4,0,4
5/7/2019,Massachusetts,0,6,6
4/7/2019,Illinois,1,3,4
4/7/2019,California,0,4,4
4/7/2019,Illinois,0,4,4
4/7/2019,California,1,3,4
3/7/2019,Texas,2,3,5
2/7/2019,Illinois,0,4,4
2/7/2019,Missouri,0,4,4
1/7/2019,Maryland,0,4,4
30/06/2019,California,0,4,4
30/06/2019,California,0,5,5
30/06/2019,Texas,2,2,4
30/06/2019,New York,0,6,6
29/06/2019,Louisiana,0,7,7
29/06/2019,Connecticut,0,4,4
29/06/2019,Illinois,0,5,5
28/06/2019,Georgia,0,7,7
28/06/2019,New Jersey,0,4,4
28/06/2019,Connecticut,0,5,5
28/06/2019,Minnesota,0,5,5
27/06/2019,Georgia,0,7,7
26/06/2019,Ohio,1,3,4
23/06/2019,California,5,0,5
23/06/2019,South Carolina,3,1,4
23/06/2019,Ohio,0,5,5
23/06/2019,California,1,3,4
23/06/2019,Indiana,1,10,11
22/06/2019,Pennsylvania,0,4,4
22/06/2019,Virginia,0,4,4
22/06/2019,Maryland,1,4,5
21/06/2019,Michigan,1,3,4
21/06/2019,California,0,5,5
21/06/2019,Illinois,0,4,4
20/06/2019,Pennsylvania,0,10,10
18/06/2019,New Jersey,1,6,7
17/06/2019,Texas,1,1,2
17/06/2019,Texas,0,4,4
17/06/2019,Tennessee,0,5,5
16/06/2019,Pennsylvania,1,7,8
16/06/2019,Kentucky,1,6,7
16/06/2019,Iowa,0,6,6
15/06/2019,Louisiana,0,4,4
15/06/2019,Iowa,4,0,4
12/6/2019,North Carolina,1,3,4
11/6/2019,Georgia,2,2,4
11/6/2019,Colorado,0,4,4
9/6/2019,Tennessee,1,3,4
9/6/2019,New York,0,4,4
9/6/2019,Ohio,1,3,4
8/6/2019,Washington,5,0,5
8/6/2019,Illinois,0,4,4
7/6/2019,Texas,0,5,5
6/6/2019,Illinois,1,3,4
5/6/2019,California,0,4,4
1/6/2019,Virginia,1,3,4
1/6/2019,Illinois,0,4,4
1/6/2019,Illinois,0,4,4
1/6/2019,Georgia,0,5,5
1/6/2019,Georgia,0,4,4
1/6/2019,South Carolina,0,5,5
31/05/2019,Virginia,13,4,17
30/05/2019,Illinois,0,5,5
29/05/2019,Texas,2,3,5
27/05/2019,New Jersey,1,5,6
27/05/2019,"Washington, D.C.",0,5,5
26/05/2019,California,1,3,4
26/05/2019,Virginia,0,5,5
26/05/2019,"Washington, D.C.",1,3,4
26/05/2019,Illinois,2,3,5
25/05/2019,Oklahoma,0,5,5
25/05/2019,Maryland,0,4,4
25/05/2019,Virginia,1,9,10
25/05/2019,New Jersey,0,10,10
20/05/2019,Louisiana,1,4,5
20/05/2019,Ohio,0,4,4
20/05/2019,Oklahoma,2,2,4
19/05/2019,Oregon,0,5,5
18/05/2019,Mississippi,1,5,6
18/05/2019,Iowa,2,2,4
18/05/2019,Alabama,1,8,9
18/05/2019,California,1,5,6
18/05/2019,North Carolina,1,5,6
18/05/2019,Indiana,0,7,7
17/05/2019,California,1,4,5
16/05/2019,Ohio,0,4,4
15/05/2019,Louisiana,0,4,4
13/05/2019,Missouri,4,1,5
13/05/2019,Louisiana,0,4,4
11/5/2019,New Jersey,0,4,4
11/5/2019,Pennsylvania,0,4,4
10/5/2019,Missouri,0,6,6
10/5/2019,Pennsylvania,0,5,5
8/5/2019,Indiana,0,4,4
7/5/2019,Colorado,1,8,9
5/5/2019,New Jersey,1,4,5
5/5/2019,California,0,6,6
4/5/2019,Missouri,1,4,5
4/5/2019,Indiana,0,4,4
4/5/2019,Delaware,0,4,4
3/5/2019,Maryland,0,4,4
3/5/2019,Maryland,0,5,5
3/5/2019,Texas,1,3,4
1/5/2019,Massachusetts,1,3,4
30/04/2019,North Carolina,2,4,6
28/04/2019,Ohio,4,0,4
28/04/2019,Tennessee,0,7,7
28/04/2019,Alabama,0,4,4
28/04/2019,Maryland,1,7,8
27/04/2019,Mississippi,1,3,4
27/04/2019,Michigan,0,4,4
27/04/2019,California,1,3,4
26/04/2019,Oklahoma,0,4,4
21/04/2019,Pennsylvania,0,4,4
21/04/2019,California,0,4,4
20/04/2019,Tennessee,0,7,7
20/04/2019,Texas,0,4,4
19/04/2019,Kansas,0,4,4
18/04/2019,Kentucky,0,4,4
16/04/2019,Maryland,1,3,4
14/04/2019,California,0,4,4
14/04/2019,California,1,3,4
14/04/2019,Florida,2,2,4
12/4/2019,Illinois,0,4,4
11/4/2019,Arizona,3,2,5
11/4/2019,California,1,4,5
11/4/2019,Maryland,0,4,4
9/4/2019,Missouri,0,4,4
7/4/2019,Louisiana,0,4,4
7/4/2019,Indiana,2,3,5
7/4/2019,North Carolina,0,6,6
7/4/2019,Delaware,0,6,6
6/4/2019,Illinois,0,6,6
6/4/2019,Florida,0,4,4
4/4/2019,Florida,1,3,4
4/4/2019,Georgia,3,2,5
2/4/2019,Mississippi,0,4,4
2/4/2019,Kentucky,0,5,5
31/03/2019,Illinois,1,4,5
31/03/2019,Georgia,1,4,5
31/03/2019,South Carolina,0,7,7
28/03/2019,Maryland,0,4,4
25/03/2019,Nevada,0,5,5
24/03/2019,California,1,5,6
24/03/2019,Arizona,0,7,7
19/03/2019,Arizona,2,4,6
17/03/2019,Georgia,0,4,4
17/03/2019,Nevada,0,4,4
17/03/2019,Georgia,1,3,4
16/03/2019,New Jersey,1,3,4
15/03/2019,Alabama,2,3,5
14/03/2019,Montana,1,3,4
13/03/2019,Illinois,1,3,4
11/3/2019,New Jersey,0,4,4
10/3/2019,Colorado,1,4,5
10/3/2019,Louisiana,0,4,4
3/3/2019,California,0,4,4
3/3/2019,Illinois,0,6,6
2/3/2019,Arkansas,1,4,5
