Date,State,Dead,Injured,Total
20/09/2021,Missouri,1,3,4
19/09/2021,South Carolina,1,7,7
19/09/2021,Florida,0,4,4
19/09/2021,Texas,2,4,6
19/09/2021,California,1,3,4
19/09/2021,Illinois,0,5,5
19/09/2021,New York,2,2,4
18/09/2021,New York,1,3,4
18/09/2021,Illinois,2,2,4
18/09/2021,New York,0,4,4
18/09/2021,Louisiana,0,5,5
17/09/2021,Georgia,0,4,4
14/09/2021,Maryland,0,4,4
14/09/2021,Ohio,0,6,6
13/09/2021,Wisconsin,0,5,5
12/9/2021,Minnesota,4,0,4
12/9/2021,Texas,0,4,4
12/9/2021,Michigan,2,4,6
12/9/2021,Illinois,2,2,4
11/9/2021,Alabama,0,5,5
11/9/2021,Illinois,1,3,4
11/9/2021,Illinois,1,5,6
11/9/2021,New Jersey,0,4,4
11/9/2021,New York,0,4,4
10/9/2021,Florida,0,4,4
9/9/2021,Illinois,0,7,7
9/9/2021,Alabama,1,3,4
8/9/2021,Missouri,0,4,4
7/9/2021,Kansas,1,5,6
7/9/2021,Delaware,0,4,4
6/9/2021,Georgia,0,5,5
5/9/2021,Michigan,0,4,4
5/9/2021,Missouri,0,4,4
5/9/2021,New York,0,4,4
5/9/2021,Missouri,0,4,4
5/9/2021,Texas,4,0,4
5/9/2021,Georgia,0,7,7
5/9/2021,Florida,4,2,6
5/9/2021,Ohio,0,4,4
4/9/2021,Alabama,2,2,4
4/9/2021,Louisiana,1,3,4
4/9/2021,"Washington, D.C.",3,3,6
4/9/2021,Georgia,1,4,5
4/9/2021,Pennsylvania,0,4,4
4/9/2021,Illinois,0,5,5
3/9/2021,New York,0,4,4
3/9/2021,Texas,1,3,4
3/9/2021,Louisiana,1,3,4
2/9/2021,New York,0,4,4
31/08/2021,North Carolina,2,2,4
30/08/2021,Illinois,3,3,6
29/08/2021,Tennessee,0,5,5
29/08/2021,Nevada,1,3,4
29/08/2021,Wisconsin,0,4,4
28/08/2021,New York,0,5,5
28/08/2021,California,0,4,4
28/08/2021,Illinois,0,4,4
27/08/2021,Pennsylvania,1,4,5
27/08/2021,West Virginia,2,2,4
27/08/2021,California,0,4,4
26/08/2021,Minnesota,0,7,7
23/08/2021,Illinois,0,4,4
22/08/2021,Illinois,1,4,5
22/08/2021,Illinois,1,3,4
22/08/2021,Oregon,0,5,5
22/08/2021,Michigan,1,3,4
21/08/2021,Illinois,0,4,4
21/08/2021,Illinois,1,5,6
20/08/2021,Michigan,1,3,4
19/08/2021,Illinois,0,4,4
19/08/2021,Pennsylvania,1,4,5
19/08/2021,Maryland,1,3,4
18/08/2021,Maryland,1,3,4
18/08/2021,Ohio,2,4,6
18/08/2021,California,0,4,4
18/08/2021,North Carolina,1,3,4
17/08/2021,New York,0,5,5
16/08/2021,New York,0,8,8
16/08/2021,Michigan,1,3,4
15/08/2021,Texas,3,2,5
15/08/2021,Illinois,0,4,4
14/08/2021,Ohio,0,5,5
14/08/2021,Indiana,1,4,5
14/08/2021,New York,0,4,4
14/08/2021,New Jersey,0,4,4
13/08/2021,Nevada,1,6,7
11/8/2021,Pennsylvania,1,4,5
10/8/2021,Oregon,2,4,6
10/8/2021,Mississippi,2,2,4
9/8/2021,Michigan,2,4,6
9/8/2021,Massachusetts,1,5,6
8/8/2021,Illinois,1,4,5
8/8/2021,Louisiana,0,5,5
8/8/2021,Texas,1,5,6
8/8/2021,Illinois,1,6,7
8/8/2021,New York,2,3,5
7/8/2021,Alabama,0,4,4
7/8/2021,Illinois,0,4,4
7/8/2021,Virginia,0,4,4
6/8/2021,Tennessee,0,4,4
4/8/2021,Pennsylvania,0,4,4
3/8/2021,Illinois,1,3,4
2/8/2021,South Carolina,3,1,4
2/8/2021,South Carolina,0,9,9
1/8/2021,Louisiana,0,5,5
1/8/2021,Louisiana,1,3,4
1/8/2021,Texas,1,3,4
1/8/2021,Rhode Island,0,5,5
31/07/2021,Ohio,1,4,5
31/07/2021,Illinois,0,4,4
31/07/2021,Michigan,2,2,4
31/07/2021,New York,0,10,10
31/07/2021,Indiana,0,5,5
31/07/2021,Kentucky,0,5,5
29/07/2021,Iowa,0,4,4
29/07/2021,Pennsylvania,3,2,5
28/07/2021,South Carolina,1,4,5
28/07/2021,"Washington, D.C.",0,4,4
26/07/2021,Texas,2,3,5
25/07/2021,Michigan,0,7,7
25/07/2021,California,5,1,6
25/07/2021,Illinois,0,5,5
25/07/2021,Washington,2,3,5
24/07/2021,Ohio,0,4,4
24/07/2021,Texas,0,6,6
24/07/2021,Georgia,2,2,4
23/07/2021,California,2,4,6
23/07/2021,South Carolina,2,2,4
23/07/2021,South Carolina,0,4,4
22/07/2021,Texas,1,5,6
21/07/2021,Illinois,2,3,5
21/07/2021,Maryland,1,4,5
21/07/2021,Illinois,2,3,5
21/07/2021,Illinois,0,8,8
20/07/2021,Texas,4,0,4
19/07/2021,Illinois,0,4,4
19/07/2021,New Jersey,0,6,6
18/07/2021,Ohio,1,3,4
18/07/2021,Florida,1,4,5
18/07/2021,North Carolina,0,4,4
18/07/2021,Arizona,2,4,6
18/07/2021,Texas,3,2,5
18/07/2021,California,1,3,4
17/07/2021,Oregon,1,6,7
17/07/2021,Illinois,0,6,6
16/07/2021,California,2,4,6
16/07/2021,"Washington, D.C.",1,5,6
16/07/2021,New Hampshire,0,4,4
16/07/2021,South Carolina,1,3,4
16/07/2021,Illinois,1,3,4
16/07/2021,Pennsylvania,1,4,5
15/07/2021,Massachusetts,0,4,4
15/07/2021,Texas,1,3,4
15/07/2021,Missouri,1,4,5
14/07/2021,Illinois,0,5,5
14/07/2021,Illinois,0,5,5
14/07/2021,Delaware,2,2,4
13/07/2021,Indiana,0,4,4
13/07/2021,Michigan,1,6,7
12/7/2021,New Jersey,0,4,4
12/7/2021,New York,0,4,4
12/7/2021,Pennsylvania,2,3,5
12/7/2021,California,3,1,4
11/7/2021,Texas,1,5,6
10/7/2021,Pennsylvania,0,6,6
10/7/2021,Massachusetts,0,4,4
10/7/2021,Ohio,1,3,4
8/7/2021,Connecticut,0,4,4
5/7/2021,New York,0,4,4
5/7/2021,California,1,3,4
5/7/2021,Illinois,2,4,6
5/7/2021,Ohio,1,11,12
4/7/2021,California,0,4,4
4/7/2021,Ohio,2,3,5
4/7/2021,Ohio,0,4,4
4/7/2021,Illinois,0,4,4
4/7/2021,Nebraska,1,4,5
4/7/2021,Illinois,0,4,4
4/7/2021,Missouri,0,4,4
4/7/2021,Texas,0,8,8
4/7/2021,Illinois,0,5,5
4/7/2021,Texas,0,5,5
4/7/2021,Texas,3,2,5
3/7/2021,North Carolina,3,1,4
3/7/2021,Pennsylvania,0,4,4
3/7/2021,Georgia,1,3,4
3/7/2021,Illinois,0,4,4
2/7/2021,Pennsylvania,1,4,5
2/7/2021,Virginia,0,4,4
2/7/2021,Illinois,1,4,5
1/7/2021,Illinois,0,7,7
1/7/2021,South Carolina,2,4,6
1/7/2021,Virginia,1,3,4
30/06/2021,Illinois,0,4,4
30/06/2021,Louisiana,0,4,4
30/06/2021,Delaware,1,3,4
30/06/2021,Texas,3,1,4
28/06/2021,New York,1,3,4
27/06/2021,Illinois,1,3,4
27/06/2021,Illinois,1,10,11
27/06/2021,Illinois,1,5,6
27/06/2021,Tennessee,3,1,4
27/06/2021,North Carolina,0,4,4
26/06/2021,Texas,1,3,4
26/06/2021,Illinois,1,3,4
26/06/2021,Alabama,1,3,4
25/06/2021,Ohio,0,4,4
25/06/2021,Illinois,0,4,4
25/06/2021,New York,0,5,5
24/06/2021,Florida,1,4,5
23/06/2021,New York,0,4,4
23/06/2021,Illinois,0,4,4
23/06/2021,Alabama,2,2,4
23/06/2021,Illinois,0,4,4
21/06/2021,"Washington, D.C.",0,4,4
21/06/2021,Missouri,3,4,7
20/06/2021,Virginia,1,3,4
20/06/2021,Ohio,1,3,4
20/06/2021,Colorado,1,4,5
20/06/2021,Florida,1,10,11
20/06/2021,California,3,5,8
20/06/2021,Texas,0,8,8
20/06/2021,Indiana,1,4,5
20/06/2021,New Jersey,1,3,4
19/06/2021,California,1,6,7
19/06/2021,Alaska,1,4,5
19/06/2021,Louisiana,2,4,6
19/06/2021,New Jersey,0,4,4
18/06/2021,Minnesota,0,5,5
17/06/2021,North Carolina,2,2,4
17/06/2021,Virginia,0,4,4
17/06/2021,New Jersey,0,4,4
17/06/2021,Arizona,1,12,13
16/06/2021,Maryland,1,5,6
15/06/2021,Illinois,0,5,5
15/06/2021,Illinois,5,3,8
15/06/2021,Alabama,2,2,4
14/06/2021,Florida,1,3,4
14/06/2021,Michigan,2,2,4
13/06/2021,Ohio,1,5,6
13/06/2021,Kentucky,1,3,4
12/6/2021,Ohio,0,4,4
12/6/2021,Illinois,1,9,10
12/6/2021,Ohio,3,4,7
12/6/2021,Texas,1,13,14
11/6/2021,Texas,0,5,5
11/6/2021,North Carolina,1,3,4
11/6/2021,Georgia,1,7,8
11/6/2021,Washington,2,2,4
10/6/2021,Michigan,1,3,4
10/6/2021,New York,0,4,4
8/6/2021,Tennessee,1,4,5
8/6/2021,Tennessee,1,3,4
8/6/2021,Texas,0,5,5
