Date,State,Dead,Injured,Total
31-07-2022,Illinois,1,3,4
31-07-2022,Connecticut,0,4,4
31-07-2022,Indiana,0,4,4
31-07-2022,Michigan,1,7,8
31-07-2022,Florida,0,7,7
31-07-2022,Indiana,0,4,4
30-07-2022,Illinois,0,5,5
30-07-2022,Georgia,1,4,5
30-07-2022,Louisiana,1,3,4
29-07-2022,Ohio,1,3,4
29-07-2022,New Mexico,1,4,5
29-07-2022,Florida,0,4,4
29-07-2022,Maryl,2,2,4
27-07-2022,Alaska,4,0,4
27-07-2022,Louisiana,1,3,4
26-07-2022,Georgia,2,2,4
25-07-2022,Louisiana,0,4,4
24-07-2022,Texas,1,3,4
24-07-2022,Ohio,3,1,4
24-07-2022,California,2,5,7
24-07-2022,Texas,1,3,4
24-07-2022,Georgia,0,8,8
24-07-2022,South Carolina,1,3,4
23-07-2022,Virginia,0,5,5
23-07-2022,Illinois,0,4,4
23-07-2022,Texas,0,4,4
23-07-2022,Illinois,0,4,4
23-07-2022,Washington,1,6,7
23-07-2022,North Carolina,1,4,5
23-07-2022,Michigan,0,9,9
23-07-2022,Illinois,2,2,4
22-07-2022,Iowa,4,0,4
21-07-2022,California,0,4,4
19-07-2022,Nebraska,0,4,4
18-07-2022,Georgia,0,5,5
17-07-2022,Indiana,1,3,4
17-07-2022,Nevada,2,2,4
17-07-2022,New Jersey,0,4,4
17-07-2022,Colorado,0,7,7
17-07-2022,Indiana,4,2,6
17-07-2022,Michigan,0,4,4
17-07-2022,Georgia,0,5,5
17-07-2022,Washington,2,2,4
17-07-2022,New York,0,4,4
17-07-2022,Washington,0,5,5
16-07-2022,South Carolina,0,4,4
16-07-2022,Louisiana,0,5,5
16-07-2022,Pennsylvania,0,4,4
16-07-2022,Washington D.C.,1,3,4
16-07-2022,Texas,4,0,4
16-07-2022,Ohio,2,2,4
14-07-2022,Pennsylvania,0,4,4
14-07-2022,Illinois,0,4,4
13-07-2022,Pennsylvania,0,4,4
13-07-2022,Minnesota,0,4,4
13-07-2022,Indiana,1,3,4
12/7/2022,Massachusetts,0,4,4
11/7/2022,Tennessee,0,4,4
11/7/2022,Mississippi,0,4,4
11/7/2022,Santa Ana,2,3,5
10/7/2022,Missouri,1,5,6
10/7/2022,New York,0,5,5
10/7/2022,Illinois,0,4,4
10/7/2022,Michigan,4,0,4
10/7/2022,Illinois,1,4,5
10/7/2022,Texas,1,3,4
10/7/2022,California,3,2,5
9/7/2022,Alabama,0,4,4
8/7/2022,Michigan,0,4,4
8/7/2022,North Carolina,0,4,4
7/7/2022,Illinois,0,4,4
6/7/2022,Minnesota,0,4,4
6/7/2022,Illinois,0,4,4
6/7/2022,Florida,0,4,4
5/7/2022,Ohio,0,4,4
5/7/2022,Ohio,1,3,4
5/7/2022,Indiana,3,7,10
5/7/2022,New York,1,3,4
4/7/2022,California,1,4,5
4/7/2022,Louisiana,1,3,4
4/7/2022,New York,0,4,4
4/7/2022,Minnesota,0,7,7
4/7/2022,Wisconsin,1,4,5
4/7/2022,Colorado,1,3,4
4/7/2022,Illinois,7,48,55
4/7/2022,Virginia,0,6,6
4/7/2022,California,0,5,5
4/7/2022,Illinois,0,5,5
4/7/2022,Massachusetts,0,4,4
4/7/2022,Missouri,0,4,4
3/7/2022,Arizona,3,4,7
3/7/2022,Washington,0,4,4
3/7/2022,South Carolina,0,4,4
3/7/2022,Virginia,0,4,4
2/7/2022,North Carolina,0,6,6
2/7/2022,Texas,3,4,7
1/7/2022,Illinois,0,4,4
1/7/2022,Mississippi,1,7,8
1/7/2022,New York,1,3,4
1/7/2022,Illinois,2,3,5
30-06-2022,New Jersey,0,9,9
30-06-2022,Kentucky,3,4,7
29-06-2022,New Jersey,0,4,4
29-06-2022,Pennsylvania,0,4,4
28-06-2022,Tennessee,1,3,4
27-06-2022,Mississippi,1,3,4
27-06-2022,North Carolina,0,5,5
26-06-2022,Virginia,1,7,8
26-06-2022,Washington,0,8,8
26-06-2022,New Jersey,0,5,5
26-06-2022,Georgia,1,6,7
26-06-2022,Washington,1,4,5
26-06-2022,Texas,0,5,5
26-06-2022,Texas,1,3,4
25-06-2022,Minnesota,0,4,4
25-06-2022,Texas,2,2,4
25-06-2022,New York,0,4,4
24-06-2022,Virginia,2,2,4
24-06-2022,Pennsylvania,2,2,4
24-06-2022,Texas,1,3,4
23-06-2022,Illinois,1,3,4
20-06-2022,New York,1,8,9
20-06-2022,New York,0,5,5
19-06-2022,Florida,0,5,5
19-06-2022,South Carolina,2,2,4
19-06-2022,Michigan,0,4,4
19-06-2022,Michigan,1,3,4
19-06-2022,Washington D.C.,1,3,4
18-06-2022,Texas,2,5,7
18-06-2022,Maryl,0,4,4
18-06-2022,Florida,0,5,5
17-06-2022,Illinois,0,5,5
16-06-2022,California,1,4,5
15-06-2022,South Carolina,0,4,4
14-06-2022,Florida,4,0,4
14-06-2022,North Carolina,1,3,4
12/6/2022,Indiana,0,5,5
12/6/2022,California,3,4,7
12/6/2022,Colorado,2,4,6
12/6/2022,Texas,1,3,4
12/6/2022,Louisiana,0,4,4
12/6/2022,Michigan,0,4,4
12/6/2022,Indiana,2,4,6
11/6/2022,Tennessee,2,2,4
11/6/2022,Kentucky,0,5,5
11/6/2022,Illinois,1,4,5
11/6/2022,Michigan,0,4,4
11/6/2022,Georgia,0,7,7
10/6/2022,Georgia,1,3,4
9/6/2022,Maryl,3,3,6
8/6/2022,Arizona,0,4,4
7/6/2022,Maryl,2,2,4
7/6/2022,Illinois,0,4,4
7/6/2022,Virginia,4,0,4
7/6/2022,Illinois,0,4,4
6/6/2022,Utah,1,3,4
5/6/2022,South Carolina,0,4,4
5/6/2022,Michigan,3,2,5
5/6/2022,Arizona,2,2,4
5/6/2022,Tennessee,2,12,14
5/6/2022,Michigan,1,3,4
4/6/2022,Texas,0,5,5
4/6/2022,South Carolina,1,7,8
4/6/2022,New York,1,3,4
4/6/2022,Georgia,1,3,4
4/6/2022,Nevada,0,4,4
4/6/2022,Pennsylvania,3,11,14
4/6/2022,Arizona,1,8,9
3/6/2022,Nebraska,1,3,4
3/6/2022,Virginia,1,5,6
3/6/2022,West Virginia,2,2,4
2/6/2022,Texas,5,0,5
1/6/2022,Oklahoma,5,0,5
31-05-2022,Michigan,4,0,4
31-05-2022,Texas,0,4,4
30-05-2022,Michigan,1,6,7
30-05-2022,South Carolina,0,10,10
30-05-2022,Pennsylvania,2,2,4
29-05-2022,Nevada,0,7,7
29-05-2022,Texas,0,4,4
29-05-2022,Illinois,1,4,5
29-05-2022,California,1,3,4
29-05-2022,Oklahoma,1,7,8
29-05-2022,Illinois,0,5,5
29-05-2022,Arizona,0,6,6
28-05-2022,Tennessee,0,4,4
28-05-2022,Florida,0,4,4
28-05-2022,Colorado,1,3,4
28-05-2022,California,1,3,4
28-05-2022,Tennessee,0,6,6
27-05-2022,Alabama,0,6,6
27-05-2022,Michigan,4,1,5
25-05-2022,Pennsylvania,0,4,4
24-05-2022,Texas,22,18,40
23-05-2022,Ohio,0,5,5
23-05-2022,South Carolina,0,5,5
22-05-2022,Alabama,4,0,4
22-05-2022,Puerto Rico,5,0,5
21-05-2022,Washington,0,4,4
21-05-2022,Indiana,2,3,5
20-05-2022,Florida,1,3,4
20-05-2022,Louisiana,1,3,4
20-05-2022,California,1,9,10
19-05-2022,Illinois,2,8,10
19-05-2022,Texas,4,0,4
18-05-2022,Pennsylvania,0,5,5
17-05-2022,California,1,3,4
15-05-2022,North Carolina,0,4,4
15-05-2022,Texas,2,3,5
15-05-2022,North Carolina,0,7,7
15-05-2022,Texas,1,4,5
15-05-2022,California,1,5,6
14-05-2022,New York,10,3,13
13-05-2022,Texas,2,3,5
13-05-2022,Wisconsin,0,17,17
12/5/2022,Arkansas,0,4,4
11/5/2022,New Jersey,1,4,5
11/5/2022,Missouri,1,3,4
11/5/2022,Indiana,0,4,4
11/5/2022,Illinois,0,4,4
10/5/2022,Illinois,0,6,6
10/5/2022,Texas,1,3,4
10/5/2022,Maryl,0,5,5
10/5/2022,Pennsylvania,0,4,4
10/5/2022,Maryl,1,3,4
10/5/2022,Illinois,1,4,5
9/5/2022,Alabama,0,5,5
9/5/2022,Michigan,0,4,4
8/5/2022,Georgia,3,3,6
7/5/2022,Kentucky,2,3,5
7/5/2022,Texas,2,2,4
7/5/2022,Florida,0,4,4
6/5/2022,Louisiana,2,4,6
5/5/2022,Washington,0,5,5
3/5/2022,Illinois,0,4,4
3/5/2022,Louisiana,0,5,5
3/5/2022,Texas,0,5,5
3/5/2022,Oklahoma,0,4,4
1/5/2022,North Carolina,1,3,4
1/5/2022,Ohio,1,4,5
1/5/2022,Florida,0,6,6
1/5/2022,Louisiana,0,12,12
30-04-2022,Georgia,1,4,5
30-04-2022,Mississippi,1,5,6
29-04-2022,Louisiana,0,6,6
29-04-2022,Mississippi,0,4,4
29-04-2022,Tennessee,2,2,4
29-04-2022,Tennessee,2,2,4
28-04-2022,Alabama,1,3,4
27-04-2022,Louisiana,2,3,5
27-04-2022,Illinois,0,4,4
27-04-2022,Texas,0,4,4
27-04-2022,Arizona,0,4,4
27-04-2022,Mississippi,4,0,4
26-04-2022,South Carolina,3,1,4
25-04-2022,Alabama,1,3,4
24-04-2022,Indiana,2,4,6
24-04-2022,South Carolina,1,3,4
23-04-2022,North Carolina,0,4,4
23-04-2022,California,1,4,5
23-04-2022,Georgia,0,5,5
23-04-2022,Illinois,2,2,4
22-04-2022,Washington D.C.,1,4,5
